IR_left,IR_right, Motor_left, Motor_right
772.0,441.0,25.0, 25.0
772.0,440.0,25.0, 25.0
767.0,435.0,25.0, 25.0
769.0,442.0,25.0, 25.0
769.0,437.0,25.0, 25.0
767.0,435.0,25.0, 25.0
769.0,442.0,25.0, 25.0
770.0,453.0,25.0, 25.0
769.0,457.0,25.0, 25.0
765.0,456.0,25.0, 25.0
782.0,453.0,25.0, 25.0
791.0,448.0,25.0, 25.0
783.0,452.0,25.0, 25.0
786.0,452.0,25.0, 25.0
796.0,446.0,25.0, 25.0
786.0,446.0,25.0, 25.0
787.0,451.0,25.0, 25.0
825.0,439.0,0.0, 25.0
941.0,438.0,0.0, 25.0
942.0,445.0,0.0, 25.0
941.0,442.0,0.0, 25.0
942.0,444.0,0.0, 25.0
935.0,445.0,0.0, 25.0
941.0,449.0,0.0, 25.0
884.0,443.0,0.0, 25.0
846.0,433.0,0.0, 25.0
816.0,429.0,0.0, 25.0
816.0,431.0,0.0, 25.0
802.0,430.0,0.0, 25.0
802.0,431.0,0.0, 25.0
807.0,446.0,0.0, 25.0
811.0,432.0,0.0, 25.0
815.0,434.0,0.0, 25.0
812.0,431.0,0.0, 25.0
813.0,433.0,0.0, 25.0
819.0,436.0,0.0, 25.0
820.0,434.0,0.0, 25.0
820.0,428.0,0.0, 25.0
821.0,432.0,0.0, 25.0
820.0,433.0,0.0, 25.0
819.0,431.0,0.0, 25.0
820.0,432.0,0.0, 25.0
821.0,434.0,0.0, 25.0
821.0,434.0,0.0, 25.0
818.0,431.0,0.0, 25.0
820.0,433.0,0.0, 25.0
820.0,432.0,0.0, 25.0
821.0,434.0,0.0, 25.0
818.0,430.0,0.0, 25.0
808.0,433.0,0.0, 25.0
769.0,435.0,25.0, 25.0
771.0,492.0,25.0, 25.0
769.0,491.0,25.0, 25.0
772.0,492.0,25.0, 25.0
772.0,496.0,25.0, 25.0
767.0,504.0,25.0, 25.0
772.0,499.0,25.0, 25.0
771.0,500.0,25.0, 25.0
769.0,496.0,25.0, 25.0
770.0,488.0,25.0, 25.0
771.0,487.0,25.0, 25.0
769.0,489.0,25.0, 25.0
768.0,486.0,25.0, 25.0
772.0,502.0,25.0, 25.0
771.0,534.0,25.0, 25.0
773.0,603.0,25.0, 0.0
769.0,739.0,25.0, 0.0
773.0,728.0,25.0, 0.0
774.0,725.0,25.0, 0.0
776.0,740.0,25.0, 0.0
775.0,742.0,25.0, 0.0
776.0,737.0,25.0, 0.0
776.0,730.0,25.0, 0.0
775.0,739.0,25.0, 0.0
773.0,703.0,25.0, 0.0
767.0,659.0,25.0, 0.0
766.0,580.0,25.0, 25.0
773.0,750.0,25.0, 0.0
771.0,730.0,25.0, 0.0
769.0,666.0,25.0, 0.0
763.0,677.0,25.0, 0.0
765.0,685.0,25.0, 0.0
769.0,685.0,25.0, 0.0
767.0,694.0,25.0, 0.0
772.0,729.0,25.0, 0.0
764.0,658.0,25.0, 0.0
768.0,735.0,25.0, 0.0
761.0,648.0,25.0, 0.0
762.0,663.0,25.0, 0.0
762.0,667.0,25.0, 0.0
762.0,669.0,25.0, 0.0
762.0,646.0,25.0, 0.0
755.0,563.0,25.0, 25.0
759.0,545.0,25.0, 25.0
762.0,560.0,25.0, 25.0
